time,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,null,null,waist_yaw_joint,null,head_yaw_joint,head_pitch_joint,left_thumb_mcp_roll_joint,left_thumb_mcp_pitch_joint,left_index_mcp_joint,left_middle_mcp_joint,left_ring_mcp_joint,left_pinky_mcp_joint,right_thumb_mcp_roll_joint,right_thumb_mcp_pitch_joint,right_index_mcp_joint,right_middle_mcp_joint,right_ring_mcp_joint,right_pinky_mcp_joint
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738638,0.306492,-1.864865,0.258784,0.155746,1.000775,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.715588,0.582794,0.555735,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738709,0.306492,-1.864865,0.258783,0.155747,1.000799,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.714529,0.582265,0.555912,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738781,0.306491,-1.864866,0.258783,0.155748,1.000823,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.713455,0.581727,0.556091,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738854,0.306491,-1.864866,0.258783,0.155748,1.000847,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.712364,0.581182,0.556273,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738927,0.306491,-1.864867,0.258782,0.155749,1.000872,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.711273,0.580636,0.556455,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.739,0.30649,-1.864867,0.258782,0.155749,1.000896,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.710182,0.580091,0.556636,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.739074,0.30649,-1.864868,0.258781,0.15575,1.000921,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.709091,0.579545,0.556818,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.739147,0.306489,-1.864869,0.258781,0.15575,1.000945,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.708,0.579,0.557,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.73922,0.306489,-1.864869,0.25878,0.155751,1.00097,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.706909,0.578455,0.557182,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.739293,0.306488,-1.86487,0.25878,0.155751,1.000994,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.705818,0.577909,0.557364,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.739366,0.306488,-1.86487,0.25878,0.155752,1.001018,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.704727,0.577364,0.557545,0.3
